"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J10,J9,J8,J4,J3,J2";"USB_A_CNCTech_1001-011-01101_Horizontal_Fixed";6;"87583-3010RPALF";;;
2;"U2,U1";"SOIC-10";2;"LV8548MC";;;
3;"TP26";"TestPoint_Pad_1.0x1.0mm";1;"F4_C2";;;
4;"TP25";"TestPoint_Pad_1.0x1.0mm";1;"F4_C1";;;
5;"TP24";"TestPoint_Pad_1.0x1.0mm";1;"F3_C2";;;
6;"TP23";"TestPoint_Pad_1.0x1.0mm";1;"F3_C1";;;
7;"TP22";"TestPoint_Pad_1.0x1.0mm";1;"P5V_B6";;;
8;"TP21";"TestPoint_Pad_1.0x1.0mm";1;"P5V_B5";;;
9;"TP20";"TestPoint_Pad_1.0x1.0mm";1;"P5V_B4";;;
10;"TP19";"TestPoint_Pad_1.0x1.0mm";1;"F2_C2";;;
11;"TP18";"TestPoint_Pad_1.0x1.0mm";1;"F2_C1";;;
12;"TP17";"TestPoint_Pad_1.0x1.0mm";1;"F1_C2";;;
13;"TP16";"TestPoint_Pad_1.0x1.0mm";1;"F1_C1";;;
14;"TP15";"TestPoint_Pad_1.0x1.0mm";1;"P5V_B3";;;
15;"TP14";"TestPoint_Pad_1.0x1.0mm";1;"P5V_B2";;;
16;"TP13";"TestPoint_Pad_1.0x1.0mm";1;"P5V_B1";;;
17;"TP12";"TestPoint_Pad_1.0x1.0mm";1;"GND_TP3";;;
18;"TP11";"TestPoint_Pad_1.0x1.0mm";1;"GND_TP2";;;
19;"TP10";"TestPoint_Pad_1.0x1.0mm";1;"GND_TP1";;;
20;"TP9";"TestPoint_Pad_1.0x1.0mm";1;"12V_TP3";;;
21;"TP8";"TestPoint_Pad_1.0x1.0mm";1;"12V_TP2";;;
22;"TP7";"TestPoint_Pad_1.0x1.0mm";1;"12V_TP1";;;
23;"TP6";"TestPoint_Pad_1.0x1.0mm";1;"5V_TP3";;;
24;"TP5";"TestPoint_Pad_1.0x1.0mm";1;"5V_TP2";;;
25;"TP4";"TestPoint_Pad_1.0x1.0mm";1;"5V_TP1";;;
26;"TP3";"TestPoint_Pad_1.0x1.0mm";1;"3V_TP3";;;
27;"TP2";"TestPoint_Pad_1.0x1.0mm";1;"3V_TP2";;;
28;"TP1";"TestPoint_Pad_1.0x1.0mm";1;"3V_TP1";;;
29;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"300";;;
30;"J26,J20,J19,J18,J17,J16,J15,J14,J13,J12,J11,J7,J6,J5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";14;"XHP-2";;;
31;"J25,J24,J23,J22";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";4;"22232031";;;
32;"J21";"JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical";1;"B8B-XH-A(LF)(SN)";;;
33;"J1";"Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical";1;"442060007";;;
34;"C14,C13";"CP_Elec_4x5.4";2;"10uF";;;
35;"C12,C11,C10,C6,C5,C4";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"100nF";;;
36;"C9,C8,C7,C3,C2,C1";"CP_Elec_6.3x5.4";6;"47uF";;;
